Time,GMSL,GMSL uncertainty
2013,67.7,8.9
2012,76.1,8.3
2011,67.3,7.5
2010,65.7,7.1
2009,58,6.9
2008,52.2,6.8
2007,43.5,7.1
2006,41.6,6.8
2005,37.3,6.8
2004,37.2,6.9
2003,37.6,6.9
2002,28.4,6.8
2001,26,6.7
2000,20.5,6.8
1999,19.2,6.8
1998,10.7,6.8
1997,20.6,6.6
1996,13.6,6.6
1995,9.5,6.6
1994,6.6,6.6
1993,1.4,6.6
1992,3.2,6.6
1991,2.5,6.5
1990,0,6.5
1989,-2.3,6.4
1988,-6.8,6.3
1987,-11.5,6.2
1986,-12.1,6.3
1985,-12.7,6.3
1984,-2.4,6.3
1983,-1.5,6.5
1982,-9.9,6.3
1981,-4.1,6.5
1980,-16.5,6.5
1979,-22.5,6.7
1978,-17.6,6.7
1977,-24,6.6
1976,-22.3,6.8
1975,-21.3,6.7
1974,-19.7,6.8
1973,-31.6,6.8
1972,-25.6,6.9
1971,-34.7,6.9
1970,-39.9,7
1969,-38,7
1968,-44.8,6.7
1967,-45.6,6.5
1966,-47,6.6
1965,-41.6,6.7
1964,-52.8,6.7
1963,-44.9,6.6
1962,-43.3,6.6
1961,-38.1,6.6
1960,-44.3,6.6
1959,-48,6.5
1958,-48.3,6.6
1957,-49.7,6.9
1956,-63.1,7
1955,-58,7.1
1954,-58.9,7.3
1953,-56,7.5
1952,-60.4,7.7
1951,-57.8,7.8
1950,-67.3,7.9
1949,-69.5,8.4
1948,-68.2,9.3
1947,-73,9.6
1946,-76.1,10.6
1945,-83.6,10.7
1944,-86.4,10.7
1943,-80,10.8
1942,-80,10.8
1941,-80,10.8
1940,-92.2,11.1
1939,-86.9,12.2
1938,-92.1,11.8
1937,-94.7,11.8
1936,-100.4,11.8
1935,-96.5,11.9
1934,-102.1,11.9
1933,-96.7,11.8
1932,-101,11.9
1931,-106.7,12.2
1930,-106.3,12
1929,-110.3,12.1
1928,-111.7,12.3
1927,-107.8,12.9
1926,-106.7,13.7
1925,-113.2,13.6
1924,-115.2,13.1
1923,-107.9,13
1922,-109.1,13.2
1921,-108.2,13.1
1920,-110.3,13
1919,-111.6,12.7
1918,-113.2,12.7
1917,-111.6,12.8
1916,-107.1,13
1915,-105.2,13.6
1914,-113.1,13.8
1913,-119.4,14.1
1912,-121.2,14.2
1911,-118.1,14.2
1910,-126.4,14.6
1909,-126.3,14.6
1908,-130.8,14.5
1907,-128.3,14.9
1906,-126.9,14.7
1905,-133.7,15.4
1904,-128.2,16.9
1903,-117.9,17
1902,-125.9,17.3
1901,-130.5,17.6
1900,-130.1,18.3
1899,-124.7,19.4
1898,-132.2,19.7
1897,-141.6,20.8
1896,-146.8,21.2
1895,-139.2,21.6
1894,-151,21.6
1893,-141.3,20.3
1892,-146,20.7
1891,-149.2,20.7
1890,-147.5,20.7
1889,-149.5,20.8
1888,-151.1,20.8
1887,-153.2,20.8
1886,-147.6,20.8
1885,-145.2,21.9
1884,-143.7,22.2
1883,-164.6,22.8
1882,-169.9,23
1881,-153.1,24.2
1880,-158.7,24.2